Date,Price,Open,High,Low,Vol.,Change %
27-Apr-18,"1,320.30","1,315.30","1,321.70","1,312.80",0.62K,0.30%
26-Apr-18,"1,316.30","1,315.70","1,315.80","1,315.70",0.01K,-0.37%
25-Apr-18,"1,321.20","1,324.00","1,325.00","1,320.00",0.28K,-0.77%
24-Apr-18,"1,331.40","1,326.40","1,331.70","1,326.20",0.03K,0.67%
23-Apr-18,"1,322.50","1,334.00","1,334.40","1,323.50",0.07K,-1.06%
20-Apr-18,"1,336.70","1,342.50","1,343.40","1,335.30",0.31K,-0.75%
19-Apr-18,"1,346.80","1,348.60","1,355.20","1,341.60",0.39K,-0.33%
18-Apr-18,"1,351.20","1,343.50","1,354.20","1,343.50",0.05K,0.30%
17-Apr-18,"1,347.20","1,348.00","1,348.10","1,339.00",0.41K,-0.02%
16-Apr-18,"1,347.50","1,341.00","1,348.80","1,341.00",0.06K,0.20%
13-Apr-18,"1,344.80","1,335.90","1,346.00","1,335.90",0.07K,0.48%
12-Apr-18,"1,338.40","1,351.20","1,351.50","1,334.60",0.03K,-1.33%
11-Apr-18,"1,356.50","1,340.10","1,365.40","1,340.10",0.12K,1.08%
10-Apr-18,"1,342.00","1,335.20","1,341.00","1,333.00",0.11K,0.43%
9-Apr-18,"1,336.30","1,333.00","1,337.50","1,327.00",0.29K,0.33%
6-Apr-18,"1,331.90","1,326.50","1,333.00","1,319.00",0.35K,0.57%
5-Apr-18,"1,324.30","1,333.50","1,333.70","1,322.60",0.26K,-0.86%
4-Apr-18,"1,335.80","1,331.80","1,347.30","1,331.60",0.72K,0.23%
3-Apr-18,"1,332.80","1,340.40","1,341.50","1,328.50",0.70K,-0.69%
2-Apr-18,"1,342.10","1,327.00","1,344.20","1,324.70",0.65K,1.46%
29-Mar-18,"1,322.80","1,324.00","1,327.10","1,321.70",5.59K,-0.11%
28-Mar-18,"1,324.20","1,345.00","1,346.40","1,322.40",59.28K,-1.27%
27-Mar-18,"1,341.30","1,341.00","1,341.00","1,341.00",0.01K,-0.97%
26-Mar-18,"1,354.40","1,348.50","1,352.20","1,345.10",0.01K,0.38%
23-Mar-18,"1,349.30","1,343.20","1,348.70","1,343.20",0.01K,1.71%
22-Mar-18,"1,326.60","1,326.60","1,326.60","1,326.60",70.66K,0.45%
21-Mar-18,"1,320.70","1,312.40","1,328.80","1,312.40",0.03K,0.73%
20-Mar-18,"1,311.10","1,311.10","1,311.10","1,311.10",0.00K,-0.43%
19-Mar-18,"1,316.80","1,309.40","1,316.90","1,307.30",0.01K,0.42%
16-Mar-18,"1,311.30","1,310.10","1,310.10","1,310.10",0.03K,-0.42%
15-Mar-18,"1,316.80","1,316.80","1,316.80","1,316.80",14.09K,-0.57%
14-Mar-18,"1,324.40","1,322.20","1,324.10","1,322.20",0.02K,-0.11%
13-Mar-18,"1,325.90","1,325.30","1,325.30","1,325.30",0.01K,0.49%
12-Mar-18,"1,319.40","1,319.40","1,319.40","1,319.40",31.32K,-0.23%
9-Mar-18,"1,322.40","1,316.80","1,322.20","1,313.00",0.09K,0.19%
8-Mar-18,"1,319.90","1,324.80","1,326.80","1,319.30",0.06K,-0.46%
7-Mar-18,"1,326.00","1,338.10","1,338.10","1,330.00",0.03K,-0.57%
6-Mar-18,"1,333.60","1,321.60","1,333.40","1,321.40",0.02K,1.18%
5-Mar-18,"1,318.10","1,323.50","1,325.90","1,318.10",0.02K,-0.23%
2-Mar-18,"1,321.10","1,314.30","1,323.20","1,314.30",0.16K,1.40%
1-Mar-18,"1,302.90","1,310.40","1,318.10","1,301.80",0.04K,-0.96%
28-Feb-18,"1,315.50","1,315.40","1,321.00","1,315.40",0.06K,0.00%
27-Feb-18,"1,315.50","1,331.70","1,332.60","1,312.70",0.71K,-1.14%
26-Feb-18,"1,330.70","1,335.00","1,340.50","1,334.70",0.04K,0.19%
23-Feb-18,"1,328.20","1,328.00","1,332.10","1,327.70",0.43K,-0.18%
22-Feb-18,"1,330.60","1,322.00","1,331.40","1,322.00",0.07K,0.05%
21-Feb-18,"1,330.00","1,326.80","1,331.50","1,324.40",0.12K,0.09%
20-Feb-18,"1,328.80","1,348.40","1,350.20","1,328.50",0.28K,-1.41%
19-Feb-18,"1,347.80","1,350.40","1,353.90","1,347.40",-,-0.20%
18-Feb-18,"1,350.50","1,349.70","1,352.40","1,349.70",-,-0.20%
16-Feb-18,"1,353.20","1,354.00","1,361.40","1,344.90",0.11K,0.08%
15-Feb-18,"1,352.10","1,352.00","1,355.90","1,349.70",0.11K,-0.25%
14-Feb-18,"1,355.50","1,332.80","1,355.50","1,324.00",0.40K,2.06%
13-Feb-18,"1,328.10","1,324.50","1,329.60","1,323.40",0.07K,0.29%
12-Feb-18,"1,324.20","1,323.80","1,325.50","1,318.00",0.14K,0.85%
9-Feb-18,"1,313.10","1,320.90","1,322.00","1,311.90",0.45K,-0.29%
8-Feb-18,"1,316.90","1,317.10","1,321.10","1,307.00",0.46K,0.40%
7-Feb-18,"1,311.60","1,325.40","1,331.10","1,310.50",0.49K,-1.09%
6-Feb-18,"1,326.10","1,338.20","1,343.70","1,319.50",0.53K,-0.52%
5-Feb-18,"1,333.00","1,331.10","1,340.20","1,329.00",0.64K,-0.05%
2-Feb-18,"1,333.70","1,348.50","1,352.10","1,327.70",2.84K,-0.79%
1-Feb-18,"1,344.30","1,343.80","1,350.60","1,336.80",1.68K,0.40%
31-Jan-18,"1,339.00","1,337.50","1,346.90","1,331.80",4.88K,0.27%
30-Jan-18,"1,335.40","1,338.70","1,347.80","1,332.80",52.10K,-0.33%
29-Jan-18,"1,339.80","1,339.80","1,339.80","1,339.80",0.01K,-0.87%
26-Jan-18,"1,351.60","1,351.60","1,352.00","1,350.90",0.00K,-0.79%
25-Jan-18,"1,362.40","1,356.30","1,356.40","1,346.70",0.00K,0.48%
24-Jan-18,"1,355.90","1,357.20","1,357.20","1,357.20",0.02K,1.51%
23-Jan-18,"1,335.70","1,335.80","1,335.90","1,335.80",0.05K,0.36%
22-Jan-18,"1,330.90","1,328.40","1,328.40","1,328.40",0.16K,-0.08%
19-Jan-18,"1,331.90","1,330.10","1,333.00","1,330.10",0.05K,0.44%
18-Jan-18,"1,326.00","1,328.90","1,328.90","1,326.60",0.21K,-0.90%
17-Jan-18,"1,338.00","1,334.40","1,334.40","1,326.80",0.03K,0.19%
16-Jan-18,"1,335.40","1,331.10","1,332.50","1,331.00",0.01K,-0.48%
15-Jan-18,"1,341.80","1,337.30","1,344.90","1,337.00",-,0.33%
14-Jan-18,"1,337.40","1,337.70","1,338.60","1,336.40",-,0.30%
12-Jan-18,"1,333.40","1,327.80","1,338.20","1,327.80",0.01K,0.97%
11-Jan-18,"1,320.60","1,317.10","1,317.10","1,316.30",0.01K,0.24%
10-Jan-18,"1,317.40","1,320.30","1,320.70","1,315.30",0.07K,0.43%
9-Jan-18,"1,311.70","1,309.60","1,309.60","1,309.60",0.02K,-0.52%
8-Jan-18,"1,318.60","1,319.90","1,319.90","1,314.60",0.04K,-0.13%
5-Jan-18,"1,320.30","1,320.30","1,320.30","1,320.30",0.00K,0.07%
4-Jan-18,"1,319.40","1,322.00","1,322.00","1,321.90",0.00K,0.24%
3-Jan-18,"1,316.20","1,320.00","1,320.10","1,312.10",0.04K,0.19%
2-Jan-18,"1,313.70","1,302.30","1,317.60","1,302.30",0.07K,0.38%
1-Jan-18,"1,308.70","1,305.80","1,309.70","1,304.60",-,0.18%
29-Dec-17,"1,306.30","1,294.20","1,305.00","1,294.00",0.07K,0.94%
28-Dec-17,"1,294.10","1,288.20","1,293.70","1,288.20",0.25K,0.55%
27-Dec-17,"1,287.00","1,284.00","1,285.70","1,284.00",0.07K,0.23%
26-Dec-17,"1,284.10","1,282.40","1,284.10","1,281.80",0.08K,0.49%
25-Dec-17,"1,277.90","1,278.90","1,279.50","1,277.90",-,0.20%
22-Dec-17,"1,275.40","1,266.30","1,276.30","1,266.30",0.12K,0.64%
21-Dec-17,"1,267.30","1,266.40","1,267.40","1,264.30",0.23K,0.09%
20-Dec-17,"1,266.10","1,261.30","1,266.60","1,261.30",0.06K,0.43%
19-Dec-17,"1,260.70","1,261.10","1,264.30","1,259.50",0.33K,-0.12%
18-Dec-17,"1,262.20","1,256.20","1,262.40","1,255.70",0.05K,0.63%
15-Dec-17,"1,254.30","1,253.10","1,260.30","1,253.10",0.58K,0.04%
14-Dec-17,"1,253.80","1,252.90","1,257.70","1,250.30",0.14K,0.67%
13-Dec-17,"1,245.40","1,241.90","1,254.50","1,239.80",0.35K,0.56%
12-Dec-17,"1,238.50","1,241.30","1,244.40","1,236.50",0.69K,-0.42%
11-Dec-17,"1,243.70","1,248.40","1,249.20","1,239.90",0.15K,-0.12%
8-Dec-17,"1,245.20","1,246.30","1,249.30","1,241.50",0.16K,-0.37%
7-Dec-17,"1,249.80","1,262.30","1,262.40","1,243.90",0.36K,-1.03%
6-Dec-17,"1,262.80","1,264.90","1,267.80","1,261.60",0.37K,0.10%
5-Dec-17,"1,261.60","1,275.40","1,275.80","1,260.00",1.50K,-1.00%
4-Dec-17,"1,274.30","1,272.50","1,276.10","1,270.30",0.85K,-0.35%
1-Dec-17,"1,278.80","1,274.10","1,288.60","1,271.00",0.82K,0.44%
30-Nov-17,"1,273.20","1,283.10","1,284.50","1,269.70",3.05K,-0.69%
29-Nov-17,"1,282.10","1,293.40","1,296.20","1,281.10",47.24K,-0.97%
28-Nov-17,"1,294.70","1,294.70","1,294.70","1,294.70",4.06K,0.07%
27-Nov-17,"1,293.80","1,293.80","1,293.80","1,293.80",0.00K,0.55%
24-Nov-17,"1,286.70","1,286.70","1,286.70","1,286.70",11.75K,-0.38%
23-Nov-17,"1,291.66","1,291.19","1,293.87","1,287.65",-,0.00%
22-Nov-17,"1,291.60","1,284.70","1,284.70","1,282.90",0.00K,0.82%
21-Nov-17,"1,281.10","1,281.10","1,281.10","1,281.10",3.33K,0.51%
20-Nov-17,"1,274.60","1,275.90","1,275.90","1,275.90",0.00K,-1.64%
17-Nov-17,"1,295.80","1,288.30","1,288.30","1,288.30",0.00K,1.44%
16-Nov-17,"1,277.40","1,277.50","1,277.50","1,277.50",0.04K,0.07%
15-Nov-17,"1,276.50","1,281.40","1,284.70","1,275.90",0.01K,-0.39%
14-Nov-17,"1,281.50","1,276.90","1,279.10","1,276.90",0.00K,0.33%
13-Nov-17,"1,277.30","1,277.00","1,277.00","1,277.00",0.00K,0.39%
10-Nov-17,"1,272.40","1,283.50","1,283.50","1,273.80",0.01K,-1.03%
9-Nov-17,"1,285.60","1,279.70","1,286.90","1,279.70",0.02K,0.31%
8-Nov-17,"1,281.60","1,275.90","1,284.90","1,274.70",0.02K,0.62%
7-Nov-17,"1,273.70","1,276.80","1,276.80","1,270.40",0.01K,-0.45%
6-Nov-17,"1,279.40","1,269.00","1,280.50","1,269.00",0.13K,1.02%
3-Nov-17,"1,266.50","1,265.30","1,267.90","1,265.30",0.08K,-0.66%
2-Nov-17,"1,274.90","1,274.90","1,274.90","1,274.90",0.07K,0.06%
1-Nov-17,"1,274.10","1,272.20","1,274.80","1,270.30",0.08K,0.56%
31-Oct-17,"1,267.00","1,273.10","1,274.60","1,266.10",0.24K,-0.56%
30-Oct-17,"1,274.10","1,270.00","1,274.10","1,267.90",0.22K,0.44%
27-Oct-17,"1,268.50","1,268.40","1,268.40","1,267.10",0.15K,0.17%
26-Oct-17,"1,266.30","1,273.50","1,273.50","1,264.70",0.04K,-0.71%
25-Oct-17,"1,275.40","1,269.90","1,275.20","1,269.90",0.11K,0.03%
24-Oct-17,"1,275.00","1,275.50","1,275.50","1,273.70",0.11K,-0.21%
23-Oct-17,"1,277.70","1,274.70","1,280.80","1,271.50",0.12K,0.02%
20-Oct-17,"1,277.40","1,279.60","1,279.60","1,277.80",0.30K,-0.74%
19-Oct-17,"1,286.90","1,286.40","1,286.40","1,285.10",0.13K,0.55%
18-Oct-17,"1,279.90","1,279.90","1,279.90","1,279.90",0.16K,-0.24%
17-Oct-17,"1,283.00","1,295.10","1,295.10","1,283.10",0.57K,-1.30%
16-Oct-17,"1,299.90","1,302.00","1,303.80","1,291.90",0.17K,-0.12%
13-Oct-17,"1,301.50","1,293.30","1,301.70","1,291.70",0.07K,0.63%
12-Oct-17,"1,293.30","1,291.50","1,294.50","1,289.30",0.01K,0.58%
11-Oct-17,"1,285.80","1,287.30","1,292.00","1,284.90",0.02K,-0.37%
10-Oct-17,"1,290.60","1,282.60","1,293.00","1,281.70",0.02K,0.69%
9-Oct-17,"1,281.80","1,280.60","1,284.00","1,279.00",0.02K,0.80%
6-Oct-17,"1,271.60","1,267.60","1,272.00","1,260.50",0.05K,0.13%
5-Oct-17,"1,269.90","1,277.80","1,277.80","1,267.60",0.04K,-0.30%
4-Oct-17,"1,273.70","1,273.80","1,280.80","1,270.00",0.22K,0.17%
3-Oct-17,"1,271.50","1,269.70","1,273.30","1,268.60",0.19K,-0.09%
2-Oct-17,"1,272.70","1,275.00","1,276.10","1,270.40",0.14K,-0.69%
29-Sep-17,"1,281.50","1,284.20","1,289.40","1,281.80",0.49K,-0.31%
28-Sep-17,"1,285.50","1,283.10","1,288.00","1,277.00",5.23K,0.16%
27-Sep-17,"1,283.40","1,283.40","1,283.40","1,283.40",0.02K,-1.05%
26-Sep-17,"1,297.00","1,304.50","1,305.60","1,298.70",0.04K,-0.75%
25-Sep-17,"1,306.80","1,293.10","1,309.20","1,291.00",0.05K,1.04%
22-Sep-17,"1,293.30","1,295.00","1,295.70","1,293.60",0.21K,0.21%
21-Sep-17,"1,290.60","1,299.10","1,304.10","1,290.30",0.34K,-1.63%
20-Sep-17,"1,312.00","1,300.90","1,300.90","1,298.70",0.01K,0.44%
19-Sep-17,"1,306.20","1,307.90","1,310.30","1,305.10",0.02K,-0.01%
18-Sep-17,"1,306.30","1,309.80","1,310.40","1,306.00",0.13K,-1.07%
15-Sep-17,"1,320.40","1,320.60","1,321.20","1,319.80",0.02K,-0.32%
14-Sep-17,"1,324.70","1,319.60","1,329.30","1,319.60",0.32K,0.10%
