Date,Price,Open,High,Low,Vol.,Change %
21-May-18,16.452,16.45,16.46,16.45,0.02K,-0.02%
20-May-18,16.455,16.465,16.47,16.425,-,0.41%
18-May-18,16.387,16.38,16.405,16.38,0.03K,-0.16%
17-May-18,16.413,16.315,16.39,16.315,0.14K,0.71%
16-May-18,16.297,16.297,16.297,16.297,0.05K,0.64%
15-May-18,16.194,16.35,16.35,16.165,0.12K,-2.27%
14-May-18,16.57,16.65,16.65,16.55,0.07K,-0.93%
13-May-18,16.725,16.7,16.73,16.685,-,0.29%
11-May-18,16.676,16.725,16.725,16.725,0.08K,-0.02%
10-May-18,16.68,16.46,16.685,16.455,0.04K,1.35%
9-May-18,16.458,16.515,16.515,16.455,0.15K,0.43%
8-May-18,16.388,16.415,16.445,16.25,0.22K,-0.15%
7-May-18,16.413,16.49,16.505,16.39,0.31K,-0.74%
6-May-18,16.535,16.56,16.565,16.535,-,0.61%
4-May-18,16.434,16.405,16.44,16.33,0.30K,0.44%
3-May-18,16.362,16.37,16.53,16.34,0.64K,0.44%
2-May-18,16.291,16.19,16.45,16.19,0.88K,1.57%
1-May-18,16.039,16.28,16.285,16,1.41K,-1.67%
30-Apr-18,16.312,16.475,16.485,16.14,1.57K,-0.87%
29-Apr-18,16.455,16.475,16.475,16.455,-,0.30%
27-Apr-18,16.406,16.49,16.53,16.385,20.15K,-0.50%
26-Apr-18,16.488,16.488,16.488,16.488,-,0.01%
25-Apr-18,16.486,16.555,16.555,16.555,0.00K,-1.20%
24-Apr-18,16.687,16.66,16.66,16.66,0.01K,0.70%
23-Apr-18,16.571,16.825,16.83,16.825,0.02K,-3.01%
22-Apr-18,17.085,17.115,17.135,17.07,-,-0.36%
20-Apr-18,17.147,17.175,17.175,17.1,0.13K,-0.44%
19-Apr-18,17.222,17.17,17.17,17.17,0.00K,-0.05%
18-Apr-18,17.231,16.825,17.2,16.825,0.01K,2.74%
17-Apr-18,16.772,16.772,16.772,16.772,-,0.66%
16-Apr-18,16.662,16.662,16.662,16.662,0.12K,0.22%
15-Apr-18,16.625,16.66,16.67,16.565,-,-0.02%
13-Apr-18,16.628,16.628,16.628,16.628,-,1.13%
12-Apr-18,16.443,16.615,16.615,16.6,0.00K,-1.76%
11-Apr-18,16.738,16.738,16.738,16.738,-,1.04%
10-Apr-18,16.566,16.41,16.565,16.41,0.01K,0.41%
9-Apr-18,16.499,16.345,16.49,16.345,0.04K,0.70%
8-Apr-18,16.385,16.39,16.405,16.375,-,0.32%
6-Apr-18,16.332,16.3,16.32,16.285,0.00K,0.07%
5-Apr-18,16.32,16.2,16.305,16.19,0.01K,0.68%
4-Apr-18,16.209,16.435,16.445,16.435,0.04K,-0.84%
3-Apr-18,16.347,16.347,16.347,16.347,-,-1.68%
2-Apr-18,16.627,16.47,16.58,16.47,0.01K,1.54%
1-Apr-18,16.375,16.335,16.395,16.325,-,0.94%
29-Mar-18,16.223,16.25,16.25,16.21,0.04K,0.11%
28-Mar-18,16.205,16.45,16.45,16.195,0.08K,-1.72%
27-Mar-18,16.489,16.505,16.505,16.505,0.00K,-0.86%
26-Mar-18,16.632,16.7,16.725,16.615,0.04K,0.10%
25-Mar-18,16.615,16.56,16.655,16.56,-,0.51%
23-Mar-18,16.53,16.45,16.55,16.45,0.06K,1.24%
22-Mar-18,16.328,16.49,16.505,16.49,0.00K,-0.18%
21-Mar-18,16.357,16.385,16.53,16.385,0.08K,1.44%
20-Mar-18,16.125,16.215,16.215,16.05,0.11K,-0.80%
19-Mar-18,16.255,16.165,16.26,16.165,0.14K,-0.28%
18-Mar-18,16.3,16.315,16.335,16.28,-,0.60%
16-Mar-18,16.202,16.335,16.405,16.185,0.03K,-0.92%
15-Mar-18,16.353,16.485,16.485,16.305,0.03K,-0.69%
14-Mar-18,16.467,16.535,16.535,16.5,0.00K,-0.56%
13-Mar-18,16.559,16.495,16.56,16.46,0.02K,0.53%
12-Mar-18,16.471,16.565,16.565,16.39,0.05K,-0.90%
11-Mar-18,16.62,16.59,16.635,16.59,-,0.45%
9-Mar-18,16.546,16.33,16.615,16.305,0.36K,0.67%
8-Mar-18,16.436,16.44,16.465,16.375,0.07K,0.05%
7-Mar-18,16.428,16.64,16.64,16.4,0.03K,-1.72%
6-Mar-18,16.715,16.37,16.81,16.37,0.34K,2.31%
5-Mar-18,16.338,16.465,16.545,16.32,0.14K,-1.19%
4-Mar-18,16.535,16.54,16.56,16.505,-,0.87%
2-Mar-18,16.392,16.39,16.495,16.36,0.08K,1.19%
1-Mar-18,16.2,16.35,16.465,16.09,0.56K,-0.76%
28-Feb-18,16.324,16.335,16.43,16.3,1.02K,-0.13%
27-Feb-18,16.346,16.61,16.65,16.26,23.90K,-1.18%
26-Feb-18,16.542,16.542,16.542,16.542,-,0.56%
25-Feb-18,16.45,16.455,16.48,16.445,-,-0.16%
23-Feb-18,16.476,16.55,16.555,16.55,0.02K,-0.62%
22-Feb-18,16.579,16.57,16.57,16.57,0.02K,-0.15%
21-Feb-18,16.604,16.604,16.604,16.604,-,1.09%
20-Feb-18,16.425,16.425,16.425,16.425,-,-1.11%
19-Feb-18,16.61,16.6,16.69,16.57,-,0.03%
18-Feb-18,16.605,16.6,16.645,16.595,-,-0.54%
16-Feb-18,16.695,16.695,16.695,16.695,0.00K,-0.49%
15-Feb-18,16.777,16.777,16.777,16.777,0.02K,-0.48%
14-Feb-18,16.858,16.858,16.858,16.858,0.20K,2.13%
13-Feb-18,16.507,16.507,16.507,16.507,0.00K,-0.25%
12-Feb-18,16.548,16.375,16.375,16.345,0.00K,1.40%
11-Feb-18,16.32,16.295,16.325,16.28,-,1.27%
9-Feb-18,16.116,16.116,16.116,16.116,0.02K,-1.21%
8-Feb-18,16.314,16.314,16.314,16.314,-,0.67%
7-Feb-18,16.206,16.63,16.63,16.63,0.00K,-2.07%
6-Feb-18,16.548,16.705,16.705,16.54,0.21K,-0.55%
5-Feb-18,16.639,16.639,16.639,16.639,0.01K,0.27%
4-Feb-18,16.595,16.555,16.625,16.515,-,-0.49%
2-Feb-18,16.676,16.676,16.676,16.676,0.00K,-2.58%
1-Feb-18,17.118,17.118,17.118,17.118,-,-0.50%
31-Jan-18,17.204,17.175,17.21,17.175,0.02K,1.12%
30-Jan-18,17.013,17.055,17.185,17.025,0.02K,-0.32%
29-Jan-18,17.068,17.068,17.068,17.068,-,-1.96%
28-Jan-18,17.41,17.42,17.44,17.365,-,0.16%
26-Jan-18,17.382,17.382,17.382,17.382,0.00K,-0.96%
25-Jan-18,17.551,17.525,17.525,17.525,0.00K,0.72%
24-Jan-18,17.425,17.425,17.425,17.425,0.00K,3.38%
23-Jan-18,16.855,16.855,16.855,16.855,0.01K,-0.45%
22-Jan-18,16.931,16.985,16.985,16.985,0.00K,-0.87%
21-Jan-18,17.08,17.06,17.1,17.04,-,0.62%
19-Jan-18,16.975,16.935,16.99,16.935,0.04K,0.49%
18-Jan-18,16.893,17,17.01,16.96,0.01K,-1.24%
17-Jan-18,17.105,17.095,17.12,16.97,0.09K,-0.10%
16-Jan-18,17.122,17.305,17.325,17.305,0.00K,-1.48%
15-Jan-18,17.38,17.24,17.445,17.225,-,0.78%
14-Jan-18,17.245,17.24,17.27,17.225,-,1.03%
12-Jan-18,17.069,16.925,17.12,16.92,0.05K,1.04%
11-Jan-18,16.894,16.955,16.965,16.905,0.04K,-0.41%
10-Jan-18,16.963,16.96,16.96,16.955,0.18K,0.16%
9-Jan-18,16.936,16.945,16.945,16.945,0.01K,-0.75%
8-Jan-18,17.064,17.064,17.064,17.064,-,-1.19%
7-Jan-18,17.27,17.28,17.285,17.27,-,0.38%
5-Jan-18,17.205,17.205,17.205,17.205,-,0.09%
4-Jan-18,17.189,17.085,17.23,17.085,0.03K,0.02%
3-Jan-18,17.185,17.08,17.16,17.08,0.00K,0.37%
2-Jan-18,17.121,17.155,17.16,17.125,0.03K,0.30%
1-Jan-18,17.07,17.025,17.085,17.02,-,0.06%
29-Dec-17,17.06,16.92,17.045,16.92,0.02K,1.35%
28-Dec-17,16.832,16.65,16.82,16.65,0.21K,1.28%
27-Dec-17,16.619,16.595,16.625,16.58,0.09K,0.60%
26-Dec-17,16.52,16.48,16.48,16.48,0.06K,0.79%
25-Dec-17,16.39,16.435,16.435,16.365,-,0.20%
22-Dec-17,16.357,16.14,16.32,16.14,0.19K,1.27%
21-Dec-17,16.152,16.095,16.12,16.095,0.05K,-0.22%
20-Dec-17,16.188,16.095,16.175,16.095,0.02K,0.76%
19-Dec-17,16.066,16.16,16.16,16.08,0.02K,-0.33%
18-Dec-17,16.12,15.98,16.075,15.98,0.05K,0.31%
17-Dec-17,16.07,16.075,16.09,16.06,-,0.58%
15-Dec-17,15.978,16.01,16.01,15.955,0.37K,0.81%
14-Dec-17,15.85,16,16,15.8,0.03K,0.42%
13-Dec-17,15.784,15.64,15.995,15.62,0.19K,1.30%
12-Dec-17,15.582,15.665,15.7,15.555,0.20K,-0.73%
11-Dec-17,15.697,15.775,15.8,15.625,0.08K,-1.06%
10-Dec-17,15.865,15.85,15.88,15.85,-,0.82%
8-Dec-17,15.736,15.675,15.765,15.655,0.08K,0.13%
7-Dec-17,15.715,15.88,15.885,15.6,0.17K,-0.96%
6-Dec-17,15.868,16.04,16.05,15.87,0.21K,-0.66%
5-Dec-17,15.973,16.25,16.28,15.98,0.08K,-1.91%
4-Dec-17,16.284,16.31,16.34,16.19,0.89K,-0.77%
3-Dec-17,16.41,16.35,16.435,16.34,-,0.69%
1-Dec-17,16.297,16.385,16.485,16.2,0.52K,-0.52%
30-Nov-17,16.382,16.48,16.52,16.285,1.59K,-0.46%
29-Nov-17,16.457,16.81,16.865,16.45,22.56K,-2.11%
28-Nov-17,16.811,17.02,17.025,17.02,0.00K,-1.16%
27-Nov-17,17.009,17.02,17.02,17.02,0.00K,0.00%
26-Nov-17,17.009,17.025,17.025,16.998,-,0.16%
24-Nov-17,16.981,16.99,16.99,16.99,0.00K,-0.67%
23-Nov-17,17.096,17.096,17.157,17.067,-,-0.03%
22-Nov-17,17.101,17.101,17.101,17.101,-,0.90%
21-Nov-17,16.949,16.93,16.93,16.93,0.00K,0.73%
20-Nov-17,16.827,16.827,16.827,16.827,-,-2.54%
19-Nov-17,17.266,17.289,17.302,17.249,-,-0.53%
17-Nov-17,17.358,17.125,17.305,17.125,0.00K,1.77%
16-Nov-17,17.056,16.95,16.97,16.95,0.01K,0.63%
15-Nov-17,16.95,16.94,16.94,16.94,0.00K,-0.60%
14-Nov-17,17.052,16.905,16.905,16.905,0.00K,0.17%
13-Nov-17,17.023,16.84,17.01,16.84,0.00K,0.72%
12-Nov-17,16.902,16.872,16.911,16.864,-,0.34%
